M,jammer,tier,strategy,avoidance,avoidance_sd,throughput,throughput_sd
1000,constant,low,fixed,0.0,0.0,0.0,0.0
1000,constant,low,dsss,1.0,0.0,1.0,0.0
1000,constant,low,uss,0.9990000000000001,0.0014621665549733936,0.49950000000000006,0.0007310832774866968
1000,random,low,crypto,0.9988,0.001349329335326412,0.9988,0.001349329335326412
1000,random,low,random,0.9992666666666667,0.0012298957997167574,0.9992666666666667,0.0012298957997167574
1000,random,low,fixed,0.9992000000000001,0.0012429109325317318,0.9992000000000001,0.0012429109325317318
1000,random,low,dsss,1.0,0.0,1.0,0.0
1000,random,low,uss,0.9992,0.001447947417601183,0.4996,0.0007239737088005915
1000,pulsed,low,crypto,0.9980000000000001,1.1292025708167404e-16,0.9980000000000001,1.1292025708167404e-16
1000,pulsed,low,random,1.0,0.0,1.0,0.0
1000,pulsed,low,fixed,0.5,0.0,0.5,0.0
1000,pulsed,low,dsss,1.0,0.0,1.0,0.0
1000,pulsed,low,uss,0.9995333333333334,0.0010080138659874626,0.4997666666666667,0.0005040069329937313
1000,sweep,mid,crypto,0.9980000000000001,1.1292025708167404e-16,0.9980000000000001,1.1292025708167404e-16
1000,sweep,mid,random,0.9986,0.0016733200530681526,0.9986,0.0016733200530681526
1000,sweep,mid,fixed,0.9980000000000001,1.1292025708167404e-16,0.9980000000000001,1.1292025708167404e-16
1000,sweep,mid,dsss,1.0,0.0,1.0,0.0
1000,sweep,mid,uss,0.9990666666666665,0.001460593486680444,0.4995333333333333,0.000730296743340222
1000,comb,mid,crypto,0.994,0.0,0.994,0.0
1000,comb,mid,random,1.0,0.0,1.0,0.0
1000,comb,mid,fixed,0.0,0.0,0.0,0.0
1000,comb,mid,dsss,1.0,0.0,1.0,0.0
1000,comb,mid,uss,0.9955999999999999,0.003080528391755838,0.49779999999999996,0.001540264195877919
1000,partial_band,mid,crypto,0.6660000000000001,1.1292025708167404e-16,0.6660000000000001,1.1292025708167404e-16
1000,partial_band,mid,random,0.6768666666666666,0.0022086559079087533,0.6768666666666666,0.0022086559079087533
1000,partial_band,mid,fixed,0.0,0.0,0.0,0.0
1000,partial_band,mid,dsss,1.0,0.0,1.0,0.0
1000,partial_band,mid,uss,0.6972666666666665,0.024077365724470032,0.34863333333333324,0.012038682862235016
1000,reactive,top,crypto,1.0,0.0,1.0,0.0
1000,reactive,top,random,0.9944666666666664,0.0008603661343041534,0.9944666666666664,0.0008603661343041534
1000,reactive,top,fixed,0.0020000000000000005,4.410947542252892e-19,0.0020000000000000005,4.410947542252892e-19
1000,reactive,top,dsss,1.0,0.0,1.0,0.0
1000,reactive,top,uss,0.9960666666666665,0.002545223157120067,0.4980333333333333,0.0012726115785600335
1000,learning,top,crypto,0.9980000000000001,1.1292025708167404e-16,0.9980000000000001,1.1292025708167404e-16
1000,learning,top,random,0.0,0.0,0.0,0.0
1000,learning,top,fixed,0.0,0.0,0.0,0.0
1000,learning,top,dsss,1.0,0.0,1.0,0.0
1000,learning,top,uss,0.9992000000000001,0.0009965457582448805,0.49960000000000004,0.0004982728791224402
1000,smart_partial,top,crypto,0.7040000000000002,2.2584051416334807e-16,0.7040000000000002,2.2584051416334807e-16
1000,smart_partial,top,random,0.6933999999999999,0.0018307714597761897,0.6933999999999999,0.0018307714597761897
1000,smart_partial,top,fixed,0.0,0.0,0.0,0.0
1000,smart_partial,top,dsss,1.0,0.0,1.0,0.0
1000,smart_partial,top,uss,0.6984666666666667,0.021710847969165756,0.34923333333333334,0.010855423984582878
2320,constant,low,crypto,1.0,0.0,1.0,0.0
2320,constant,low,random,1.0,0.0,1.0,0.0
2320,constant,low,fixed,0.0,0.0,0.0,0.0
2320,constant,low,dsss,1.0,0.0,1.0,0.0
2320,constant,low,uss,0.9995333333333334,0.0012521246311585864,0.4997666666666667,0.0006260623155792932
2320,random,low,crypto,0.9994666666666667,0.0010416609195243766,0.9994666666666667,0.0010416609195243766
2320,random,low,random,0.9998666666666668,0.0005074162634049253,0.9998666666666668,0.0005074162634049253
2320,random,low,fixed,0.9997333333333334,0.0006914918072835214,0.9997333333333334,0.0006914918072835214
2320,random,low,dsss,1.0,0.0,1.0,0.0
2320,random,low,uss,0.9998666666666668,0.0005074162634049253,0.4999333333333334,0.00025370813170246263
2320,pulsed,low,crypto,1.0,0.0,1.0,0.0
2320,pulsed,low,random,1.0,0.0,1.0,0.0
2320,pulsed,low,fixed,0.5,0.0,0.5,0.0
2320,pulsed,low,dsss,1.0,0.0,1.0,0.0
2320,pulsed,low,uss,0.9998,0.0008051557998728984,0.4999,0.0004025778999364492
2320,sweep,mid,crypto,1.0,0.0,1.0,0.0
2320,sweep,mid,random,0.9995333333333334,0.0010080138659874628,0.9995333333333334,0.0010080138659874628
2320,sweep,mid,fixed,0.9980000000000001,1.1292025708167404e-16,0.9980000000000001,1.1292025708167404e-16
2320,sweep,mid,dsss,1.0,0.0,1.0,0.0
2320,sweep,mid,uss,0.9995333333333335,0.0008603661343041535,0.49976666666666675,0.00043018306715207676
2320,comb,mid,crypto,0.9980000000000001,1.1292025708167404e-16,0.9980000000000001,1.1292025708167404e-16
2320,comb,mid,random,1.0,0.0,1.0,0.0
