M,crypto_ops,crypto_energy_J,crypto_time_s,dqn_macs,dqn_energy_J,dqn_time_s,energy_ratio
10,1,1.3e-11,2.655799649801338e-07,10880,4.0256e-08,8.505235018674285e-06,3096.6153846153848
100,1,1.3e-11,2.655799649801338e-07,108800,4.0255999999999997e-07,6.377413999871351e-05,30966.153846153844
1000,1,1.3e-11,2.655799649801338e-07,1088000,4.0256e-06,0.0005718297549901763,309661.53846153844
2320,1,1.3e-11,2.655799649801338e-07,2524160,9.339392e-06,0.0014205560550180963,718414.7692307692
