hop_rate,dwell_us,offset_us,success
100,10000.0,0.0,1.0
100,10000.0,203.38983050847457,1.0
100,10000.0,406.77966101694915,1.0
100,10000.0,610.1694915254237,1.0
100,10000.0,813.5593220338983,1.0
100,10000.0,1016.9491525423729,1.0
100,10000.0,1220.3389830508474,1.0
100,10000.0,1423.7288135593221,1.0
100,10000.0,1627.1186440677966,1.0
100,10000.0,1830.508474576271,1.0
100,10000.0,2033.8983050847457,1.0
100,10000.0,2237.2881355932204,1.0
100,10000.0,2440.677966101695,1.0
100,10000.0,2644.0677966101694,1.0
100,10000.0,2847.4576271186443,1.0
100,10000.0,3050.8474576271187,1.0
100,10000.0,3254.237288135593,1.0
100,10000.0,3457.6271186440677,0.999
100,10000.0,3661.016949152542,0.99575
100,10000.0,3864.406779661017,0.98725
100,10000.0,4067.7966101694915,0.96975
100,10000.0,4271.186440677966,0.9315
100,10000.0,4474.576271186441,0.843
100,10000.0,4677.966101694915,0.738
100,10000.0,4881.35593220339,0.5975
100,10000.0,5084.745762711864,0.42925
100,10000.0,5288.135593220339,0.2815
100,10000.0,5491.525423728814,0.1585
100,10000.0,5694.9152542372885,0.083
100,10000.0,5898.3050847457625,0.03475
100,10000.0,6101.6949152542375,0.01875
100,10000.0,6305.0847457627115,0.0045
100,10000.0,6508.474576271186,0.00025
100,10000.0,6711.864406779661,0.0005
100,10000.0,6915.254237288135,0.0005
100,10000.0,7118.64406779661,0.0
100,10000.0,7322.033898305084,0.0
100,10000.0,7525.423728813559,0.0
100,10000.0,7728.813559322034,0.0
100,10000.0,7932.203389830509,0.0
100,10000.0,8135.593220338983,0.0
100,10000.0,8338.983050847457,0.0
100,10000.0,8542.372881355932,0.0
100,10000.0,8745.762711864407,0.0
100,10000.0,8949.152542372882,0.0
100,10000.0,9152.542372881355,0.0
100,10000.0,9355.93220338983,0.0
100,10000.0,9559.322033898305,0.0
100,10000.0,9762.71186440678,0.0
100,10000.0,9966.101694915254,0.0
100,10000.0,10169.491525423728,0.0
100,10000.0,10372.881355932202,0.0
100,10000.0,10576.271186440677,0.0
100,10000.0,10779.661016949152,0.0
100,10000.0,10983.050847457627,0.0
100,10000.0,11186.440677966102,0.0
100,10000.0,11389.830508474577,0.0
100,10000.0,11593.220338983052,0.0
100,10000.0,11796.610169491525,0.0
100,10000.0,12000.0,0.0
1000,1000.0,0.0,1.0
1000,1000.0,20.338983050847457,1.0
1000,1000.0,40.67796610169491,1.0
1000,1000.0,61.01694915254237,1.0
1000,1000.0,81.35593220338983,1.0
1000,1000.0,101.69491525423727,1.0
1000,1000.0,122.03389830508473,1.0
1000,1000.0,142.37288135593218,1.0
1000,1000.0,162.71186440677965,1.0
1000,1000.0,183.0508474576271,1.0
1000,1000.0,203.38983050847455,1.0
1000,1000.0,223.72881355932202,1.0
