M,params,dqn_avoidance,dqn_avoidance_sd,train_seconds,steps,steps_per_sec,converged,n_seeds_budget,dqn_steps_avoidance,dqn_steps_avoidance_sd,steps_arm_seconds,steps_arm_steps,steps_arm_converged,steps_to_converge,n_seeds_matched,crypto_avoidance
10,10954,0.9126000000000001,0.017487773506716684,20.00043206319824,33105.7,1655.2493150936684,10,10,0.9026666666666667,0.02386070689089773,9.085215101668533,15000.0,3,3333.3333333333335,3,0.696
100,108964,0.8434000000000001,0.06361027170722247,20.00310013739945,3624.5,181.1971307111583,4,10,0.8326666666666668,0.026102362600602502,82.03222913166489,15000.0,3,8666.666666666666,3,0.704
1000,1089064,0.0664,0.14812847276754204,20.066003042004013,212.8,10.604657469256459,0,10,0.002,0.002,1841.1579923390043,15000.0,0,,3,0.704
2320,2526544,0.1612,0.27193986263306247,20.19219720720139,108.5,5.373767630270787,0,10,0.002,0.002,4854.613152989336,15000.0,0,,3,0.704
