n,mean_a,mean_b,mean_diff,ci_lo,ci_hi,t_p,wilcoxon_p,cohens_d,comparison,jammer,M,t_p_bonferroni,significant_0.05
30,0.9920000000000002,0.0,0.9920000000000002,0.9920000000000002,0.9920000000000002,0.0,4.320463057827488e-08,4392480258358325.5,crypto>random,learning,100,0.0,True
30,0.9920000000000002,0.9894666666666666,0.002533333333333336,0.0009333333333333342,0.004133333333333337,0.005601948708097496,0.009280145245594378,0.546367322606195,crypto>uss,learning,100,0.03361169224858498,True
30,0.9920000000000002,1.0,-0.008000000000000007,-0.008000000000000007,-0.008000000000000007,0.0,4.320463057827488e-08,0.0,crypto>dsss,learning,100,0.0,True
8,0.696,0.9115000000000001,-0.21550000000000008,-0.2237500000000001,-0.20750000000000007,4.20325461331238e-10,0.0078125,-17.113341036788846,crypto>dqn,smart_partial,10,2.521952767987428e-09,True
8,0.704,0.8595,-0.15550000000000003,-0.18050000000000005,-0.13124375000000013,7.808669362260945e-06,0.0078125,-4.114554764756744,crypto>dqn,smart_partial,100,4.685201617356567e-05,True
8,0.704,0.11575,0.5882499999999999,0.3939999999999999,0.6902499999999999,0.0004733991075124913,0.015625,2.1698613468861545,crypto>dqn,smart_partial,1000,0.002840394645074948,True
